0|iata_code|1|city_rus|2|city_eng
AXC|AXC|||Aramac|Aramac
AXD|AXD|Александрополи|Александрополи|Alexandroupolis|Alexandroupolis
AXE|AXE|||Xanxere|Xanxere
AXG|AXG|||Algona|Algona
AXK|AXK|Атак|Атак|Ataq|Ataq
AXL|AXL|Александрия|Александрия|Alexandria|Alexandria
AXM|AXM|Армения|Армения|Armenia|Armenia
AXN|AXN|Александрия|Александрия|Alexandria|Alexandria
AXP|AXP|||Spring Point|Spring Point
AXR|AXR|||Arutua|Arutua
AXS|AXS|||Altus|Altus
AXT|AXT|Акита|Акита|Akita|Akita
AXU|AXU|Аксум|Аксум|Axum|Axum
AXV|AXV|||Wapakoneta|Wapakoneta
AXX|AXX|||Angel Fire|Angel Fire
AYA|AYA|Айапел|Айапел|Ayapel|Ayapel
AYC|AYC|Аякучо|Аякучо|Ayacucho|Ayacucho
AYD|AYD|||Alroy Downs|Alroy Downs
AYE|AYE|||Fort Devens|Fort Devens
AYG|AYG|Ягуара|Ягуара|Yaguara|Yaguara
AYH|AYH|||Alconbury|Alconbury
AYI|AYI|Яри|Яри|Yari|Yari
AYK|AYK|Аркалык|Аркалык|Arkalyk|Arkalyk
